iso_weekstartdate,iso_year,iso_week,isoyw,temperature,dew_point_temperature,relative_humidity,wind_speed,wind_direction,sea_level_pressure,station_level_pressure,visibility,wind_gust,wet_bulb_temperature,altimeter,pressure_3hr_change,precipitation,precipitation_3_hour,precipitation_6_hour,precipitation_9_hour,precipitation_12_hour,precipitation_15_hour,precipitation_18_hour,precipitation_21_hour,precipitation_24_hour,Station_ID,Station_name,Latitude,Longitude,Elevation
1942-10-12,1942,42,194242,3.012916666666667,2.38875,69.5625,6.164583333333333,122.54166666666667,1006.9666666666667,,147.76666666666668,,,,3.700743415417188e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAI0000TNCA,REINA BEATRIX INTL,12.501,-70.015,18.0
1942-10-19,1942,43,194243,2.9991666666666665,2.3935714285714287,70.29761904761905,4.927380952380952,103.64285714285714,1008.1107142857143,,160.0,,,,-0.4785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAI0000TNCA,REINA BEATRIX INTL,12.501,-70.015,18.0
1942-10-26,1942,44,194244,2.935238095238095,2.388095238095238,72.78571428571429,4.958333333333333,93.48809523809524,1007.4261904761905,,135.33333333333334,,,,-0.2571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAI0000TNCA,REINA BEATRIX INTL,12.501,-70.015,18.0
1942-11-02,1942,45,194245,2.9256626506024097,2.3896385542168677,73.07228915662651,4.619277108433734,105.16867469879519,1007.5530120481927,,151.13253012048193,,,,-0.688888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAI0000TNCA,REINA BEATRIX INTL,12.501,-70.015,18.0
1942-11-09,1942,46,194246,2.8467857142857143,2.3886904761904764,76.5,2.642857142857143,205.8125,1007.6190476190476,,151.16190476190476,,,,-0.33571428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAI0000TNCA,REINA BEATRIX INTL,12.501,-70.015,18.0
1942-11-16,1942,47,194247,2.9662650602409637,2.396987951807229,71.97590361445783,4.701204819277108,99.78313253012048,1008.3301204819277,,140.52048192771085,,,,-0.24444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAI0000TNCA,REINA BEATRIX INTL,12.501,-70.015,18.0
1942-11-23,1942,48,194248,2.9208536585365854,2.3173170731707313,70.1829268292683,4.703658536585365,72.1219512195122,1008.3634146341464,,156.44878048780487,,,,-0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAI0000TNCA,REINA BEATRIX INTL,12.501,-70.015,18.0
1942-11-30,1942,49,194249,2.8007142857142857,2.42952380952381,80.58333333333333,4.230952380952381,204.9404761904762,1007.2154761904762,,108.76190476190476,,,,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAI0000TNCA,REINA BEATRIX INTL,12.501,-70.015,18.0
1942-12-07,1942,50,194250,2.8615476190476192,2.3107142857142855,72.57142857142857,5.178571428571429,116.44047619047619,1010.8738095238094,,147.37142857142857,,,,-0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAI0000TNCA,REINA BEATRIX INTL,12.501,-70.015,18.0
1942-12-14,1942,51,194251,2.7712048192771084,2.306144578313253,76.34939759036145,6.663855421686748,88.34939759036145,1012.0759036144578,,104.10602409638554,,,,-0.2785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAI0000TNCA,REINA BEATRIX INTL,12.501,-70.015,18.0
